var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2
7.8k,	10.2k,	13.6k,	22k,	7.8k,	10.2k,	13.6k,	22k
-46.98440908,	-46.98445471,	-46.9845402,	-46.98469098,	-46.98485887,	-46.98487019,	-46.98491412,	-46.9849294
-46.8667195,	-46.86712312,	-46.86735755,	-46.86770963,	-46.86848352,	-46.86859096,	-46.86863801,	-46.86870877
-46.8467574,	-46.84697554,	-46.84715987,	-46.84747916,	-46.84841613,	-46.84848084,	-46.84851163,	-46.84859078
-46.84673176,	-46.84696134,	-46.84712849,	-46.84745542,	-46.84837559,	-46.84844341,	-46.84847693,	-46.84854975
-46.82534322,	-46.82568745,	-46.82584616,	-46.82634077,	-46.82808704,	-46.82816361,	-46.82818479,	-46.82834301
-46.8232763,	-46.82335204,	-46.82351561,	-46.82366337,	-46.82429728,	-46.82431549,	-46.82436386,	-46.82439669
-46.82045584,	-46.8207806,	-46.82101896,	-46.82134404,	-46.82255596,	-46.82264739,	-46.82270341,	-46.82278888
-46.82045159,	-46.82074308,	-46.82099664,	-46.82132206,	-46.82254766,	-46.82262524,	-46.82268281,	-46.8227706
-46.80762852,	-46.80789331,	-46.80803014,	-46.80831748,	-46.80914172,	-46.80921729,	-46.80925927,	-46.80933087
-46.80733983,	-46.80756706,	-46.8077244,	-46.80800435,	-46.80884017,	-46.80890266,	-46.80895561,	-46.80902238
-46.80725265,	-46.80747514,	-46.80764837,	-46.80791394,	-46.80874855,	-46.808809,	    -46.80886657,	-46.80893403
-46.804838,	    -46.80508115,	-46.80520667,	-46.80548759,	-46.80631558,	-46.80640363,	-46.80644137,	-46.80651114
-46.80473953,	-46.80497379,	-46.80510076,	-46.80537937,	-46.8062229,	-46.80630546,	-46.80634363,	-46.80641156
-46.80208515,	-46.80226818,	-46.80249891,	-46.8027813,	-46.8036873,	-46.80374041,	-46.80380998,	-46.80389141
-46.80206963,	-46.80226224,	-46.80248204,	-46.8027683,	-46.80370873,	-46.80376913,	-46.80383756,	-46.80391912
-46.80114561,	-46.80137342,	-46.80148234,	-46.80175464,	-46.80259609,	-46.802668,	    -46.80269553,	-46.80276435
-46.80009891,	-46.80020895,	-46.8004206,	-46.80065337,	-46.80142903,	-46.8014567,	-46.80152432,	-46.80158297
