var,	var,	var,	pt2,	pt2,	pt2
57k	,69k	,101k	,57k	,69k	,101k
-171.1875496,	-171.1876022,	-171.1876518,	-171.1891087,	-171.1891166,	-171.1891218
-171.1873231,	-171.187369,	-171.1874174,	-171.1888415,	-171.1888507,	-171.1888547
-171.1868693,	-171.1869229,	-171.1869727,	-171.1883695,	-171.1883768,	-171.1883805
-171.1861818,	-171.186246,	-171.1863038,	-171.1876464,	-171.187654,	-171.1876595
