var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2
10.9k,	17.9k,	32.4K,	47.4K,	10.9k,	17.9k,	32.4K,	47.4K
-105.9415341,	-105.9416732,	-105.9418402,	-105.9418941,	-105.9420827,	-105.9421035,	-105.9421383,	-105.942141
-105.8321607,	-105.8323259,	-105.8324978,	-105.8325409,	-105.832905	,-105.832943	,-105.8329869,	-105.8329991
-105.8175907,	-105.8178698,	-105.8180802,	-105.8181568,	-105.8186487,	-105.8187225,	-105.8187647,	-105.818783
-105.8134241,	-105.8137122,	-105.8140252,	-105.8141102,	-105.8148768,	-105.8149234,	-105.8149874,	-105.8150046
-105.8003287,	-105.8006826,	-105.8010041,	-105.8011085,	-105.8020771,	-105.8021163,	-105.8021836,	-105.8022028
-105.7976871,	-105.7980412,	-105.7983158,	-105.7984052,	-105.7991633,	-105.7992298,	-105.7992821,	-105.7992975
